id,sector,tipo_ia,nivel_autonomia,transparencia,riesgo_sesgo,impacto_social,privacidad_datos,explicabilidad,cumple_normativa,evaluacion_etica
35,Educación,Orientación vocacional,Bajo,Alta,Bajo,Positivo,Media,Alta,Sí,Aceptable
36,RRHH,Predicción de rotación,Medio,Media,Medio,Neutro,Media,Media,Sí,Cuestionable
37,Finanzas,Evaluación de préstamos,Alto,Baja,Alto,Negativo,Media,Baja,No,No Aceptable
38,Seguros,Gestión de siniestros,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
39,Smart Cities,Gestión energética,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
40,Seguridad,Control fronterizo,Alto,Baja,Alto,Negativo,Baja,Baja,No,No Aceptable
41,Salud,Asistente clínico,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
42,Marketing,Análisis de emociones,Medio,Baja,Alto,Negativo,Media,Baja,No,Cuestionable
43,Industria,Control de calidad,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
44,Gobierno,Análisis de políticas públicas,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
45,Educación,Personalización de contenidos,Medio,Alta,Bajo,Positivo,Media,Alta,Sí,Aceptable
46,RRHH,Entrevistas automatizadas,Medio,Baja,Alto,Negativo,Media,Baja,No,No Aceptable
47,Finanzas,Gestión de carteras,Alto,Media,Medio,Neutro,Alta,Media,Sí,Cuestionable
48,Comercio,Predicción de demanda,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
49,Salud,Análisis genético,Alto,Baja,Alto,Negativo,Baja,Baja,No,No Aceptable
50,Seguridad,Detección de amenazas,Alto,Media,Medio,Positivo,Alta,Media,Sí,Cuestionable
51,Transporte,Optimización de rutas,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
52,Redes Sociales,Análisis de comportamiento,Medio,Baja,Alto,Negativo,Media,Baja,No,Cuestionable
53,Industria,Planificación de producción,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
54,Gobierno,Voto electrónico,Alto,Baja,Alto,Negativo,Baja,Baja,No,No Aceptable
55,Salud,Triaje automático,Alto,Media,Medio,Cuestionable,Alta,Media,Sí,Cuestionable
56,Educación,Detección de plagio,Medio,Alta,Bajo,Positivo,Media,Alta,Sí,Aceptable
57,Finanzas,Análisis de riesgo macroeconómico,Alto,Media,Medio,Neutro,Alta,Media,Sí,Cuestionable
58,Seguros,Personalización de pólizas,Medio,Media,Medio,Neutro,Media,Media,Sí,Cuestionable
59,Smart Cities,Gestión de residuos,Medio,Alta,Bajo,Positivo,Alta,Alta,Sí,Aceptable
60,Atención al cliente,Asistente virtual avanzado,Medio,Alta,Bajo,Positivo,Media,Alta,Sí,Aceptable
